date,Gross_Price_Total
01-09-2017,122407.5582
01-10-2017,162687.5716
01-12-2017,245673.8042
01-01-2018,127574.7372
01-02-2018,144799.5182
01-04-2018,130643.8976
01-05-2018,139165.0975
01-06-2018,125735.3786
01-08-2018,125409.8801
01-09-2018,343337.1651
01-10-2018,440562.0754
01-12-2018,653944.7486
01-01-2019,359025.0186
01-02-2019,356607.1729
01-04-2019,379549.685
01-05-2019,340152.2349
01-06-2019,343792.042
01-08-2019,338108.8774
01-09-2019,808250.4406
01-10-2019,1092622.198
01-12-2019,1488174.016
01-01-2020,812929.7497
01-02-2020,862762.7656
01-04-2020,130520.9209
01-05-2020,145049.0525
01-06-2020,362545.1364
01-08-2020,799327.6345
01-09-2020,2296919.633
01-10-2020,3109316.88
01-12-2020,4078789.918
01-01-2021,2303086.37
01-02-2021,2355170.454
01-04-2021,2253574.913
01-05-2021,2181587.784
01-06-2021,2288587.448
01-08-2021,2349478.822
01-09-2021,11192823.08
01-10-2021,13908229.29
01-12-2021,19537146.56
